Column,"5,824",Column,-,-,"5,824",Column,"5,824",-,-,"5,824"
"49,223",,"49,223
- -",,,,"49,223",,,,
,"9,630",,-,-,"9,630",,"9,630",-,-,"9,630"
(142),,"(142)
- -",,,,(142),,,,
,"(12,593)",,"(10,050)",,"(2,54)3",,"(2,543)","4,056",-,"(6,599)"
"(115,953)",,"(33,084) (82,869)
-",,,,"(82,869)",,,,
,"(64,011)",,"(10,050)","(33,084)","(20,877)",,"(20,877)","4,056","(13,017)","(11,916)"
