Strategic Theme,* Material Topic,SDG
Improve financial sustainability,· Economic Performance,
Improve stakeholder wellbeing,"· Health and Safety
· Employment Practices",
Reduce environmental footprint,"· Solid Waste Manage-
ment
· Water
· GHG Emissions
· Energy",
