Column,"30 Sep 2017
KShs M","30 Sep 2016 Change
KShs M %"
,"54,518",
Operating costs,"(53,075)","(53,799) (1.3)"
,"1,443",
Operating margin (%),2.65%,1.73%
,"(5,212)",
Loss before income tax,"(3,769)","(4,726) 20.2"
,(33),
Loss after tax,"(3,802)","(4,783) 20.5"
,590,
Total comprehensive loss for the year,"(3,212)","(3,238) (0.8)"
,(2.54),
