Column,Risk,Description,Mitigating actions
6.,People risk,"All risks affecting
human resources
working in the
organization.","a) Succession planning and development of talent pipeline.
b) Continuously seeking alternative opportunities to shoulder staff
from high cost of living in the absence of a financial incentive
scheme.
c) Continuous engagement and relationship management with social
partners.
d) Implementation of a culture change program (re-ignite program).
e) There are plans to stratify the employee value proposition based
on the age bracket –aimed at attracting and retaining talent."
7.,"Geopolitical
risk","Possible negative
impact on the
operations of the
company because of
political changes or
instability affecting
our markets.","a) Strategic engagement with the Kenyan administration.
b) Active monitoring of political developments across different
markets.
c) Continuous identification of cost saving initiatives that will lead
to reduction of the cost base. This will make it possible to price
competitively in the market."
8.,"Airline safety
risk","Occurrence of
incidents and
accidents or violations
to safety guidelines
and protocols.","a) A compliance monitoring framework for safety regulations is in
place - ICAO, KCAA. Internal policies and procedures are developed
based on these regulations.
b) Strict adherence to Standard Operating Procedures and
consequence management to non-compliance.
c) Regular Safety Management System training and awareness to
keep employees up to date on safety policies and procedures.
d) Proper and timely safety incident management processes in place."
9.,"Legal &
Compliance
Risk","Exposure to legal
penalties, financial
forfeiture and
material loss as a
result of failure to
act in accordance
with, statutory laws,
regulations or internal
policies","a) Established mechanism to ensure compliance and continuous
monitoring of all compliance aspects across the organization."
10.,Security risk,"Occurrence of
incidences that
threaten the security
of our customers and
employees or result
into damage of assets.","a) Mandatory and regular aviation security(AVSEC) training and
certification for all staff.
b) Continuous security risk assessment and prompt resolution of
gaps identified.
c) Strict adherence to security policies and procedures
d) Close collaboration with relevant security authorities"
