Column,Risk,Description,"Change
vs
2022",Explanation of the change,Mitigating Actions
6,,"Negative impact
on company
performance due
to anti-competitive
practices.",tu,"· The selective application of open
skies agreements across different
countries may result in anti-
competitive behaviour that impact
the Airline’s ability to operate in
certain markets","· Pursuing strategic partnerships with
suitable airlines that would add value to our
customers and the business.
· Focus on improving customer experience at
all touch points."
7,Geopolitical,"Negative impact
on company
performance due to
wars, political unrest
or natural disasters.
This includes but
is not limited to
additional costs
due to closure of
airspaces, inability
to fly to specific
destinations and
fall in passenger
numbers.",p,"· The rising instability in some of
the African markets presents both
opportunities and risks. The Ukraine
war as well as the Israel-Hamas
conflict are causing even greater
uncertainty on the global economy
and are likely to cause deceleration
of growth","· Strategic engagements with the Kenyan
Administration as well as other Governments
· Ongoing monitoring and surveillance of
the global and regional socio-political and
security developments
· Continuous identification of cost saving
initiatives to mitigate against cost escalations"
8,Fraud,"Misappropriation
or misuse of Group
assets by staff and /
or external parties",tu,"· The international spread of the
business, its interdependency with
technology and multiplicity of
stakeholders and cultures creates
an inherent fraud risk within the
business.","· Increased monitoring of controls in areas
prone to fraud.
· Enhancement of the Company’s Ethics
program including development of a new
integrity code and ongoing implementation
of the “Act right. Speak Up” campaign to
empower staff to prevent, detect and report
fraud.
· Increased awareness of the whistle blowing
mechanisms in place for staff and third
parties"
9,"Legal &
Compliance","Exposure to legal
penalties, financial
forfeiture and
material loss as a
result of failure to
act in accordance
with statutory laws,
regulations on
internal policies",tu,"· In the course of undertaking
its activities, Kenya Airways is
exposed to disputes or monitoring /
investigations by authorities which
may results in legal or regulatory
proceedings / actions now or in the
future,","· Established mechanism to ensure compliance
and continuous monitoring of all compliance
aspects across the organization."
10,People,"Inability to retain
critical talent and
the possibility of
labor disputes",tu,"· As global air traffic improves
post the pandemic, there is an
anticipated increase in flights which
shall create demand for additional
trained staff within Kenya Airways
and across the industry.
· Some CBA’s are still under
negotiation and until they are
concluded, labour disputes may
arise.","· Ongoing implementation of the reignite
culture change program.
· Succession planning and development of the
talent pipeline
· Stratification of the employee value
proposition to suit employee profile.
· Ongoing engagement with social partners.
· The risk of labour disputes was reduced by
the CBA’s signed in the course of the year."
11,"Industry
/ Market
changes","Possible disruption
in the supply of
essential supplies
such as aircraft,
aircraft parts or key
airline services due
to industry / market
changes",p,"· The economic effects of geo-
political events as well as knock-
on effects of COVID have caused
increased disruptions to the
aviation supply chain. Although
they are expected to stabilize in
the medium term the disruptions
have a negative effect on airline
operations globally","· Close collaboration with aircraft part OEM’s
· Flexibility in adjusting the network to reduce
flight disruptions
· Short term capacity increase via ACMI"
