Column,Risk,Description,Mitigating actions
1,Liquidity risk,"Inability to service financial
obligations as and when they fall
due. The Covid-19 pandemic has
led to decline in revenues and cash
generation.","• Engagement with key suppliers and financiers for moratoria
• Renegotiation of aircraft lease contracts with the lessors
• Engagement with the principal shareholders for financial
support
• Freeze on discretionary / non-critical spend and
implementation of temporary salary cuts for staff
• Continuous identification of opportunities to boost
cashflows – opportunities within Cargo business, charter
services etc."
2,Going concern,"Material uncertainty as to whether
the business will continue to exist
into the foreseeable future due to
accumulation of losses and the net
current liability position.","• Engagement with key suppliers and financiers for moratoria
• Renegotiation of aircraft lease contracts with the lessors
• Engagement with the principal shareholders for financial
support
• Freeze on discretionary / non-critical spend and
implementation of temporary salary cuts for staff
• Continuous identification of opportunities to boost
cashflows – opportunities within Cargo business, charter
services etc."
3,Safety risk,"Possible contracting of Covid-19
by passengers and staff within KQ
facilities and aircraft","• Strict adherence to guidelines and protocols issued by
KCAA/ Ministries. Ministry of Transport & Infrastructure/
Ministry of Health
• Enhanced health and safety protocols at all sites - provision
of PPE, installation of sanitizing points, enforcement of
social distancing at the workplace
• Remote working arrangements for most staff
• Medical and psychological support to staff, pre-screening of
patients at the clinic, set up of isolation facilities"
4,Competition,"Potential for actions of other
players in the market to negatively
impact the business – erosion of
market share, revenues etc.","• Continuous improvement of KQ’s products / service offering
to consistently meet customer needs
• Leveraging on strategic partnerships with other industry
players"
5,"IT and cyber
security risk","Failure of IT infrastructure
and external attacks to the IT
environment.
Unauthorised access to KQ
databases and applications.","• Establishment of disaster recovery plans (DRPs) and
business continuity plans (BCPs)
• Implementation of effective measures and processes to
safeguard against IT infrastructure threats"
