Column,"30 Sep 2017
KShs M","31 Mar 2017
KShs M"
Non-current assets,"117,168","119,397"
,"24,844",
Total Assets,"142,012","146,144"
Equity attributable to owners,"(48,179)","(44,964)"
,52,
,"(48,127)","(44,915)"
,"114,206",
Current liabilities,"75,933","71,301"
,"190,139",
TOTAL EQUITY AND LIABILITIES,"142,012","146,144"
