Column,Risk,Description,Mitigating actions
14,"Volatility in fuel
prices","Fluctuations in the fuel prices
driven by global crude oil prices","• Competitive sourcing of fuel suppliers
• Continuous monitoring of trends in global fuel prices
• Fuel hedging arrangements"
15,"Accounting and
financial reporting
risks","Failure to meet various accounting
and reporting requirements under
IFRS
- IFRS 16 Leases
- IFRS 9 Financial Instruments
- IFRS 15 Revenue from contracts
with customers
- IAS 1 Presentation of financial
statements","• Continuously seeking professional advice on technical
matters
• Development of staff through training programmes"
16,Credit risk,"Inability to recover debts from our
customers in full","• Periodic review of the credit policy and strict enforcement
of credit terms
• Continuous monitoring of debtor performance and follow up"
17,Security risk,"Theft and pilferage of parts for
aircraft
Theft of other assets",• Enhanced security at all sites
