Column,Risk,Description,Mitigating actions
6,Staff attrition,Loss of critical staff,"• Development of talent pipeline for the key roles
• Stratification of the employee value proposition based on
the age bracket – aimed at attracting and retaining talent
• Management of knowledge resources through retention and
transfer"
7,"Impairment of
assets","Possible impairment of aircraft and
related equipment","• Focus on improving profitability and sustainable cash flow
generation"
8,Regulatory risk,"Failure to comply with various
regulatory requirements thereby
resulting into fines and penalties","• Continuous monitoring of changes in laws and regulations
• Established mechanisms to ensure compliance and
continuous monitoring of compliance"
9,Geopolitical risks,"Possible negative impact on the
operations occasioned political
changes or instability affecting our
markets
Inability to resume regional and
international flights to closure of
the air space","• Continuous monitoring of political activities across different
markets
• Close collaboration and engagement with relevant
stakeholders and governments"
10,Litigation risk,"Legal action arising from normal
cause of business with third parties
or employees","• Strict adherence to contractual terms
• Continuous consultation with both the internal and external
legal counsels on matters likely to result into litigation"
11,"Currency exposure
and forex risk","Inability to repatriate funds
trapped in some of the markets
that we operate in
Unfavourable changes in the
foreign exchange rates","• Continuous monitoring of economic performance of our
markets
• Ticket sales in hard currencies in risky markets
• Continuous engagement with relevant government
authorities in those markets
• Use of natural forex hedge"
12,Fraud,"Misappropriation or misuse of
assets belonging to the Group by
staff and external parties","• Strict enforcement of the Code of Business Conduct and KQ
values
• Investigation of cases reported through the whistleblowing
platforms
• Fraud awareness programs focusing of preventive measures"
13,"Disruption in
supply of essential
goods and
services","Possible disruption in the supply
of essential goods and services -
including spare parts","• Use of multiple vendors for essential supplies of goods and
services
• Rigorous vetting process for vendors
• Engagement with relevant authorities - Kenya Bureau of
Standards (KEBS) and Kenya Revenue Authority (KRA)"
