Column,Risk,Description,Mitigating actions
11,Credit risk,"Inability to recover debts from our
customers in full","• Periodic review of the credit policy and strict
enforcement of credit terms; and
• Continuous monitoring of debtor performance
and follow up."
12,"Accounting and fi nancial
reporting risks","Failure to meet various accounting and
reporting requirements under IFRS
- IFRS 16 Leases
- IFRS 9 Financial Instruments
- IFRS 15 Revenue from contracts with
customers
- IAS 1 Presentation of fi nancial
statements","• Continuously seeking professional advice on
technical matters; and
• Development and upskilling of staff through
training."
13,"Disruption in supply of
essential goods and services","Possible disruption in the supply of
essential goods and services","• Use of multiple vendors for essential supplies
of goods and services; and
• Rigorous vetting process for vendors."
14,Fraud,"Misappropriation or misuse of assets
belong to the Group by staff and external
stakeholders","• Strict enforcement of the Code of Business
Conduct;
• Fraud awareness programs focusing of
preventive measures; and
• Whistleblowing mechanisms."
