Column,"30 Sep 2017
KShs M","30 Sep 2016
KShs M"
Cash generated from operations,"9,832","9,333"
,17,
Interest paid,"(3,714)","(3,630)"
,(30),
Net cash generated from operating activities,"6,105","5,567"
Cash flows used in investing activities,"(1,334)","(1,910)"
,"(6,962)",
Net increase / (decrease) in cash & cash equivalents,"(2,191)","7,598"
Cash and cash equiv at beginning of year,"9,177","4,827"
,"6,986",
