0.8%,Column,9.5%,Column,5.8%,Column,7.1%
964,,3,,214,,"1,981"
8,,0,,12,,141
,"21.6%
177
38",,"36.8%
58
21",,"99.9 %
397
396",
3.3%,,18.9%,,14.3%,,9.8%
"6,163",,44,,71,,"6,909"
201,,8,,10,,675
,"3.4%
80
3",,"3.8%
204
8",,"29 %
347
101",
2.5%,,3.9%,,6.4%,,6.1%
"1,911",,184,,68,,"2,795"
47,,7,,4,,170
,"8.5%
130
11",,"15 %
35
5",,"95.7 %
55
53",
2.%,,7.5%,,37.5%,,16.6 %
196,,95,,25,,535
4,,7,,9,,89
,"14.5 %
26
4",,"14.3 %
231
33",,"25.7 %
1,775
456",
1.1 %,,16.6 %,,15.5 %,,17.8 %
760,,37,,213,,"3,043"
9,,6,,33,,541
