FLEET MOVEMENT IN 2019,Column
Boeing 777-300ER,"All three aircraft subleases with
Turkish Airlines extended by an
additional 3 years to 2023."
Boeing 737-300,"Aircraft is not airworthy and will
be deregistered and used for
training"
Embraer 190,"The two extensively damaged
aircraft were replaced by 2 used
E190s on 3-year leases."
