0.9%,Column,9.4%,Column,5.7%,Column,7.5%
853,,3,,218,,"1,862"
8,,0,,12,,141
,"24.1%
154
37",,"42.6%
49
19",,"121.3%
383
465",
1.9%,,24.3%,,14.2%,,9.8%
"5,998",,33,,68,,"6,685"
114,,8,,11,,654
,"3.5%
79
3
8.5%
130
11",,"3.8%
200
8
15.0%
35
5",,"29.5%
341
101
95.7%
55
53",
2.6%,,4.0%,,6.5%,,6.4%
"1,800",,181,,67,,"2,668"
47,,7,,4,,170
2.0%,,7.5%,,37.5%,,16.6%
196,,95,,25,,535
4,,7,,9,,89
,"0.41%
180
1",,"0.41%
1,576
6",,"0.73%
12,141
89",
0.03%,,0.47%,,0.44%,,0.5%
"5,198",,256,,"1,459",,"20,810"
2,,1,,6,,105
