NAME OF DIRECTOR,"NUMBER OF
SHARES"
"Cabinet Secretary to the
National Treasury","2,847,844,811"
Mr. Nicholas Bodo,"1,050"
Ms Carol Musyoka,"6,675"
Major General Michael Gichangi,"2,025"
