NDEGE ZILIZOONDOKA MWAKA WA 2019,Column
Boeing 777-300ER,"Ukodishaji wa ndege zote tatu na
Shirika la Ndege la Uturuki (Turkish
Airways) umeongezwa kwa miaka 3
zaidi hadi 2023."
Boeing 737-300,"Ndege haifai kusafi ri angani na
itaondolewa usajili ili itumiwe kwa
mafunzo"
Embraer 190,"Ndege hizo mbili zilizoharibiwa
sana zilibadilishwa na E190 mbili
zitakazotumika kwa ukodishaji wa
miaka 3."
