Column,Risk,Description,Mitigating actions
1,Competition,"Competitive operating
environment as a result of action
from other players (existing and
new entrants)","• Continuous monitoring of action by competition;
• Continuous development of our products and
qual ity of services;
• Leveraging on strategic partnerships with other
industry players; and
• Continuous development of the KQ brand."
2,Liquidity risk,"Inability to service our financial
obligations as and when they fall
due","• Implementation of various initiatives to
improve efficiency across the Group."
3,Safety and security risks,"Occurrence of incidences that
threaten the safety and security
of our customers and employees
or result into damage of assets","• Continuous safety and security risk
assessment and prompt resolution of gaps
identified;
• Strict adherence to security policy and
procedures;
• Regular training on safety and security
matters; and
• Close collaboration with relevant security
authorities."
4,Volatility in fuel prices,"Fluctuations in the fuel prices
driven by global crude oil prices","• Competitive sourcing of fuel suppliers;
• Continuous monitoring of trends in global
fuel prices; and
• Fuel hedging arrangements."
5,Currency exposure,"Inability to repatriate funds
trapped in some of the markets
that we operate in.","• Continuous monitoring of economic
performance of our markets;
• Ticket sales in hard currencies in risky
markets; and
• Continuous engagement with relevant
government authorities in those markets."
6,Geopolitical risks,"Possible negative impact on the
operations as a result of political
changes or instability affecting
our markets.","• Continuous monitoring of political activities
across different markets;
• Wide network coverage and destinations; and
• Close collaboration and engagement with
relevant stakeholders and governments."
7,Litigation risk,"Legal action arising from normal
cause of business with third par-
ties or employees","• Strict adherence to contractual terms; and
• Involvement of internal and external legal
counsel."
8,Regulatory,"Failure to comply with various
regulatory requirements thereby
resulting into fines and penalties","• Continuous monitoring of changes in laws
and regulations; and
• Established mechanisms to ensure strict
compliance and continuous monitoring of
compli ance."
