Category,Description,"Basis for recognizing
expected credit losses"
Performing (stage 1),"The counterparty has a low risk of default and does not have
any past-due amounts.",Lifetime ECL
Doubtful (stage 2),"Amount is >30 days past due or there has been a significant
increase in credit risk since initial recognition.","Lifetime ECL – not credit
impaired"
In default (stage 3),"Amount is >360 days past due or there is evidence indicating
the asset is credit impaired.","Lifetime ECL – credit
impaired"
Write off,"There is evidence indicating that the debtor is in severe
financial difficulty and has failed to engage in a repayment
plan with the Group.",Amount is written off
