Column,"5,824",Column,-,-,"5,824",Column,"5,824",-,-,"5,824"
"49,223",,"49,223
- -",,,,"49,223",,,,
,"9,630",,-,-,"9,630",,"9,630",-,-,"9,630"
(142),,"(142)
- -",,,,(142),,,,
,"(12,307)",,"(10,050)",-,"(2,257)",,"(2,257)","4,128",-,"(6,385)"
"(116,451)",,"(36,227) (80,224)
-",,,,"(80,224)",,,,
,"(64,223)",,"(10,050)","(36,227)","(17,946)",,"(17,946)","4,128","(12,986)","(9,088)"
58,,"50
8
-",,,,50,,,,
,"(64,165)",,"(10,050)","(36,219)","(17,896)",,"(17,896)","4,128","(12,985)","(9,039)"
