Key Audit Matter,How the matter was addressed in the audit
Allowance for expected credit losses,
"The expected credit losses on financial assets carried
at amortised cost are determined under application
of IFRS 9 - Financial Instruments. The Group’s financial
assets at amortised cost include; amounts due
from related parties, loan receivables, Government
securities, deposits with financial institutions,
commercial papers, corporate bonds, other receivables
and cash and bank balances.
The impairment of these financial assets was
considered to be a key audit matter because significant
judgement was involved in determining the expected
credit losses as disclosed in note 2(h) to the financial
statements. Key areas of judgement included:
• the interpretation of the requirements to
determine impairment under application of IFRS 9,
which is reflected in the Group’s expected credit
loss model;
• the identification of exposures with a significant
deterioration in credit quality;
• assumptions used in the expected credit loss model
such as the financial condition of the counterparty,
expected future cash flows and forward-looking
macroeconomic factors; and
• the need to apply additional overlays to reflect
current or future external factors that are not
appropriately captured by the expected credit loss
model.","Our audit procedures included the following:
• We assessed and tested the design and operating
effectiveness of the key controls over the:
i. data used to determine the expected credit
losses on financial assets carried at amortised
cost.
ii. expected credit loss model, including model
build and approval, ongoing monitoring/
validation, model governance and mathematical
accuracy.
• We assessed the modelling techniques/
methodology against the requirements of IFRS 9 -
Financial Instruments.
• We assessed and tested the material modelling
assumptions as well as overlays with a focus on the:
i. key modelling assumptions adopted by the
Group;
ii. basis for and data used to determine overlays;
and
iii. sensitivity of the collective provisions to
changes in modelling assumptions.
• In addition, we assessed the adequacy of the
disclosures in the financial statements."
Valuation of Policy Holders’ Liabilities,
"CIC Life Assurance Limited deals with life assurance
business, which is long-term in nature. As a result, the
company determines the liabilities it would expect in
the long-term, using actuarial valuation methods and
in line with the guidelines established by the Kenyan
Insurance Regulatory Authority (IRA) as disclosed in
note 2(e) to the financial statements.
We have considered this issue as a key audit matter
since estimation of the actuarial value of policyholders’
benefit is complex and subjective in nature since it
involves use of judgements and assumptions on the
discount rate, mortality, inflation bonuses, withdrawal
rates and initial and subsequent expenses subject
to the minimum basis prescribed in the valuation
guidelines.","We understood, evaluated and tested the design and
implementation of key controls over the actuarial
valuation process.
We reviewed the methodology and inputs used as well
as assumptions made in determining the value of the
policyholders’ benefits.
We evaluated whether the valuation was carried out in
accordance with the valuation guidelines as issued by
the Insurance Regulatory Authority (IRA) of Kenya.
In addition, we assessed the adequacy of the disclosures
in the financial statements."
