"Total
Sh’000
757,541"
"236,086
9,545"
"245,631"
"15,888
-
(28,952 )"
"(13,064 )"
"990,108"
"990,108"
"509,310
25,597"
"512,084"
"206,362
932,459
-
-
(31,866 )"
"1,106,955"
"2,609,147"
