"Total
2009
Sh’000"
"2,760,185
(297,944 )"
"2,462,241"
"57,926
179,102
22,262"
"259,290"
"2,721,531"
"(1,488,467 )
(214,646 )
(740,692 )"
"(2,443,805 )"
"277,726
(41,640 )"
"236,086"
"3,646
-
5,899"
"9,545"
"245,631"
