Column,SHAREHOLDING RANGE,NO. OF SHAREHOLDERS,NO. OF SHARES,%
1,1-500,505,"142,270",0.01
22,550011--55000000,11119999,"22,,559955,,332200",00..1122
33,"555000000111---111000,,,000000000",1481,"14,083,620",0.65
44,"1100,,000011--110000,,000000",22339922,"9900,,226644,,990000",44..1144
55,"100,001-1,000,000",555333000,"149,334,220",6.85
,,555333000,,
66,"11,,000000,,000011--OOVVEERR",7711,"11,,992233,,119955,,111100",8888..2233
,TOTAL,666111777888,"2,179,615,440",100.00
