Column,"2018
Ksh M","2017
Ksh M","%
Growth"
Gross premium,"16,627","14,887",12%
Net Earned Premium,"14,261","12,095",18%
Claims,"(9,250)","(7,857)",18%
Loss ratio,65%,65%,
Commission,"(1,480)","(1,099)",35%
Commission ratio,10%,9%,
Operating expenses,"(3,952)","(4,452)",(11%)
"Management expense
ratio",28%,37%,
Finance cost,(650),(650),
Investment income,"1,923","2,482",(23%)
Profit before tax,852,519,64%
