2016,Column,2016
KShs’000,,KShs’000
"38,824",,-
"(9,706)",,186
"(2,262)",,-
"(256,413)",,-
"(229,557)","(354,497)",186
"(41,372)","782,107","294,959"
0.07,,0.11
