"2011
Sh’000
1,712,196
(201,541 )"
"1,510,655"
"(125,104 )
(42,592 )
(654,393 )
-
(52,579 )
25,915
(19,996 )
(1,383,726 )
70,000
(28,929 )
(20,773 )
(112,171 )
358
537,928
12,958"
"(1,793,104 )"
"1,183,144
(93,557 )
-"
"1,089,587"
"807,138
1,341,841"
"2,148,979"
