SHAREHOLDING,"NO OF
SHAREHOLDERS",NO OF SHARES,% SHAREHOLDING
1-500,"5,659","1,183,094",0.05
"501-5,000","6,563","13,124,105",0.50
5001-10000,"1,525","11,544,426",0.44
"10,001-100,000","4,281","119,470,798",4.57
"100,001-1,000,000",515,"127,920,273",4.89
"Above 1,000,000",61,"2,342,295,832",89.55
TOTALS,"18,604","2,615,538,528",100.00
