Name,Balance,%
The Co-operative Bank of Kenya Ltd,"694,056,720",35.71
Co-operative Bank Savings and Credit Society Ltd,"187,155,264",9.63
K-Unity Savings and Credit Co-operative Society Limited.,"63,017,776",3.24
Nawiri Savings and Credit Co-operative Society Limited,"36,132,130",1.86
Harambee Co-operative Savings and Credit Society Ltd,"35,234,280",1.81
FEP Co-operative Savings and Credit Society Ltd,"30,720,000",1.58
Kipsigis Teachers Savings & Credit Society Ltd,"29,764,248",1.53
Stima Co-operative Savings and Credit Society Ltd,"26,162,384",1.35
Boresha Savings And Credit Co-operative Society Limited,"26,134,224",1.34
H&M Savings and Credit Co-operative Society Ltd.,"24,732,000",1.27
