Column,Column,Total
,,KShs’000’
,"677,898","4,007,320"
,"(131,732)","(131,732)"
,-,"(24,201)"
,-,"7,676"
,"(131,732)","(148,257)"
,"100,679",-
,-,"(163,414)"
,"(235,659)","104,374"
"35,548",,"29,636"
,,"(29,404)"
,,-
,,"(177,661)"
,,"1,498,751"
,,"(19,636)"
,,"1,301,454"
,,"1,746,987"
,,"(1,462,153)"
,,"(230,810)"
,,"54,024"
,,"5,362,798"
