Column,Column,Total
,,KShs’000’
,"1,871,521","4,559,664"
,"(636,099)","(636,099)"
,-,"(49,479)"
,"(1,907)","(281,492)"
,"(638,006)","(967,070)"
,"359,320",-
,-,"26,405"
,"43,610","(50,607)"
"48,920",,"48,297"
,,"24,095"
,,"(942,975)"
,,"1,013,523"
,,"(106,683)"
,,"(36,135)"
,,"1,691,026"
,,"(793,931)"
,,"(127,806)"
,,"769,289"
,,"5,292,818"
