BOARD OF DIRECTORS,Column,Column,Column,Column
Position and Name,Executive1,Non-Executive,Independence2,Director Since
Group Chairman: N. Kuria,,X,Independent,29-Sep-2020
Vice Chairperson: J. Njue,,X,Non-Independent3,13-May-2016
Group CEO: P. Nyaga,X,,Executive,22-June-2020
Director: P. Nyigei,,X,Non-Independent,8-May-2009
Director: M. Wambia,,X,Non-Independent,23-May-2008
Director: G. Owour,,X,Non-Independent,19-May-2006
Director: R. Githaiga,,X,Non-Independent,"14-May-2011 until 7
December 2022"
Director: R. Kinoti,,X,Independent,29–June-2021
Director: J. Mwatu,,X,Independent,20-May-2021
Director: S. Kisire4,,X,Independent,05-September-2022
