Column,"Share
premium",Column,"Retained
Earnings",Column
,KShs’000,,KShs’000,
,"162,179",,"1,250,135",
,-,,"(261,557)",
"Profit for the year -
Other comprehensive income for the
year -",-,"-
(3,400)","355,188","355,188
(3,400)"
,-,,-,
,,"(3,400)",,
,-,,"355,188",
,,"(7,097)",,
,"162,179",,"1,343,766",
,,"(7,097)
-",,
,"162,179",,"1,343,766",
,-,,"(274,636)",
"Profit for the year -
Other comprehensive income for the
year -",-,"-
186","294,773","294,773
186"
,-,,-,
,,186,,
,-,,"294,773",
,"162,179","(6,911)","1,363,903",
