SHAREHOLDING,NO OF SHAREHOLDERS,NO OF SHARES,% SHAREHOLDING
FOREIGN COMPANIES,2,"24,482,040",0.94
FOREIGN INDIVIDUALS,68,"2,349,544",0.09
LOCAL COMPANIES,606,"2,007,289,655",76.74
LOCAL INDIVIDUAL,"19,290","579,841,149",22.17
EAST AFRICAN INVESTORS,33,"1,517,540",0.06
JUNIOR INVESTORS,4,"58,600",0.00
TOTALS,"20,003","2,615,538,528",100.00
