"2013
KShs’000
2,381,717
(405,155)"
"1,976,562"
"(792,106)
(59,076)
(485,317)
(40,320)
(154,325)
80,503
3,300
(540,000)
231,250
(93,871)
(94,023)
885
705,097"
"(1,238,003)"
"(217,966)"
"(217,966)"
"520,593
2,093,778"
"2,614,371"
