Column,Shareholder Name,"2022
Shareholding",2022 % Ownership,"2021
Shareholding","2021 %
Ownership",Category
1,Gideon Maina Muriuki,"137,865,204",5.3%,"137,865,204",5.3%,LI
2,Welton Weda,"24,553,000",0.9%,"24,553,000",0.9%,LI
3,Nelson Chege Kuria,"15,730,200",0.6%,"15,390,200",0.6%,LI
4,Patrick Njogu Kariuki,"13,629,129",0.5%,"13,629,129",0.5%,LI
5,Patrick Nyaga,"12,897,400",0.5%,"12,176,400",0.5%,LI
6,"Amarjeet Baloobha Patel;
Baloobhai
Chhotabhai Patel","11,700,000",0.5%,"11,700,000",0.5%,LI
7,John Njuguna Ngugi,"11,332,100",0.4%,"11,332,100",0.4%,LI
8,Charles Ndonga Muchiri,"6,953,648",0.3%,"6,953,648",0.3%,LI
9,Nancy Wangari Ndungu,"5,815,000",0.2%,"5,815,000",0.2%,LI
10,Julius Micheuh Riungu,"5,241,600",0.2%,"5,241,600",0.2%,LI
,Total,"245,717,281",9.4%,"244,656,281",9.4%,
