Column,Board Meeting,Column,"Executive
Committee",Column,"Finance and
Investment Committee",Column,Audit Committee,Column
,(a),(b),(a),(b),(a),(b),(a),(b)
Japheth Magomere -Chairman,6,6,6,6,2,2,,
Rev. Peterson N Kagane -Vice-Chairman,6,6,2,2,2,2,,
Peter Munuhe,6,6,6,6,2,2,,
Edwin J Otieno (c),3,3,1,1,,,,
Leonard Siele (d ),6,6,,,,,4,4
Cornelius Ashira,6,6,,,2,2,,
Gordon Owuor,6,6,,,,,4,4
Joshuah Njoroge,6,6,6,6,,,4,4
Joseph P. Nyagah),6,6,,,,,4,4
Michael O Wambia (e),3,3,,,2,2,,
Jonah M Mutuku (f),3,3,,,,,2,2
