Column,Governance & Nomination,HR,Audit & Risk,Finance & Investment
"Roles and
Responsibilities","Reviewing executive appointments,
succession and development plans and
proposing the remuneration structures of
executive and non-executive members of
the Board.","To note the annual performance of staff
and recommend to the board the
payment of staff benefits in line with the
approved policies.",,
Membership,"The Governance and Nomination
Committee comprised of five (5)
members.
The members during the reporting
period were:
Dr. Nelson Kuria (Chair)
Mr. Gordon Owour
Mr. James Njue
Mr. Patrick Nyaga
Mr. Michael Wambia","The Human Resource Committee
comprised of five (5) members.
The members during the reporting
period were:
Mr. Michael Wambia (Chair)
Mr. Gordon Owour
Mr. James Njue
Mr. Patrick Nyaga
Dr. Nelson Kuria","The Committee is comprised of four (4)
members, two (2) of whom are
independent non-executive directors.
The members during the reporting
period were:
Mr. Julius Mwatu (Chair)
Dr. Rogers Kinoti
Mr. Peter Nyigei
Mr. Johnson Kegohi","The Committee comprised of five (5) members.
The Members during the reporting
period were:
Mrs. Rosemary Githaiga (Chair)
Mr. Cornelius Ashira
Mr. Edwin Otieno
Mr. Abel Amuyunzu
Mr. Patrick Nyaga
Dr. Rogers Kinoti"
Meetings,"The Committee meets at least
4 times in a year. During the period under
consideration the committee met four (4)
times","The Committee meets at least
4 times in a year. During the period
under consideration the committee met
three (3) times","The Committee meets at least
4 times in a year. During the period
under consideration the committee met
five (5) times","The Committee meets at least
4 times in a year. During the period under
consideration the committee met four (4) times"
