BOARD OF DIRECTORS,Column,Column,Column,Column
Position and Name,Executive,Non-Executive,Independence,Director Since
Group Chairman: N. Kuria,,X,Independent,29-Sep-2020
Vice Chairperson: J. Njue,,X,Non-Independent,13-May-2016
Group MD & CEO: P. Nyaga,X,,Executive,22-June-2020
Director: A. Gathaiya,,X,Independent,18-Aug-2025
Director: M. Wambia,,X,Non-Independent,23-May-2008
Director: G. Owour,,X,Non-Independent,19-May-2006
Director: L. Rono,,X,Non-Independent,16-June-2023
Director: R. Kinoti,,X,Independent,29–June-2021
Director: J. Mwatu,,X,Independent,20-May-2021
Director: S. Kisire,,X,Independent,05-Sep-2022
