SHAREHOLDING RANGE,NO. OF SHAREHOLDERS,NO. OF SHARES,%
,,"914,771",0.03
,,"13,381,279",0.51
,,"12,181,622",0.47
,,"130,468,728",4.99
,,"145,355,966",5.56
,,"2,313,236,162",88.44
,,"2,615,538,528",100.00
