"41(a)
9(c)","300,900
(4,193 )"
,"296,707"
"11
12
13
14
16
16
18
18","(21,420 )
(11,466 )
-
-
(48,983 )
13,274
(140,538 )
(357,639 )
(1,348 )
(13,041 )
306
177,068
81,242
79,068"
,"(243,477 )"
,"28,055
(27,523 )"
,532
,"53,762
498,246"
41(b),"552,008"
