"Transformational
Initiative",Column,Key Highlights
"Functional
organization
structure",,"Alignment of various roles in HQ & branches e.g. branch distribution, finance
& strategy , Cooperatives
Establishment of key functions in alignment to the Group strategy e.g.
Group training, Research , Cooperatives training, Investor relations
Staff rationalization and re-deployments for optimal staff utilization"
Digitization,,"We have implemented various digital innovations as below:
1. Customer APP for CIC LIFE Client
2. 3 Portals for General business for customers, brokers/agents and claims
service providers portal
3. USSD for CIC Life micro insurance product
4. Group Website upgrade for the group with better optimization
capabilities"
Data analytics,,"Implemented a business intelligence tool for the General business.
With management dashboard to track key performance metrics
Among other analytical capabilities
Key focus is to scale these capabilities to the Group"
,Debt Management,"W e have employed rigorous collection initiatives which have seen us
improve debt ratio from 11% to 8% as at end of 2021"
