Column,Column,Adopted approach
Title,IFRS 17 options,
Insurance acquisition cash flows,"Provided that the coverage period of each contract
in the group at initial recognition is no more than
one year, IFRS 17 allows an accounting policy
choice of either expensing the insurance
acquisition cash flows when incurred or amortising
them over the contract’s coverage period.","Insurance acquisition cashflows will be
expensed when incurred except for
commission expense which will be
amortised on a linear basis over the
coverage period."
"Liability for Remaining Coverage
(“LRC”) adjusted for financial risk
and time value of money","Where there is no significant financing component
in relation to the LRC, or where the time between
providing each part of the services and the related
premium due date is no more than a year, an entity
is not required to make an adjustment for accretion
of interest on the LRC.","Under the PAA approach, there will be no
accretion of interest to the LRC since the
time between providing each part of the
services and the related premium due
date is no more than a year.
Interest will however be accreted to the
LRC under the GMM model due to the
long-term nature of the contracts under
this model."
"Liability for Incurred Claims
(“LIC”) adjusted for time value of
money.","Where claims are expected to be paid within a year
of the date that the claim is incurred, it is not
required to adjust these amounts for the time value
of money.","Medical claims incurred are expected to
be paid out in less than one year. Hence,
no adjustment is made for the time value
of money.
For all other business lines, the LIC will be
adjusted for the time value of money
since these typically have a settlement
period of over one year."
"Insurance finance income and
expenses","IFRS 17 provides an accounting policy choice to
recognise the impact of changes in discount rates
and other financial variables in profit or loss or in
OCI. The accounting policy choice (the PL or OCI
option) is applied on a portfolio basis.","The Group will include all insurance finance
income or expenses for the period in profit
or loss."
Disaggregation of risk adjustment,"An insurer is not required to include the entire
change in the risk adjustment for non-financial risk
in the insurance service result. Instead, it can
choose to split the amount between the insurance
service result and insurance finance income or
expenses.","The Group will disaggregate the change in
risk adjustment for non-financial risk
between the insurance service result and
the insurance finance result."
