Executive,Non-Executive,Independent
Tom Gitogo *,Japheth Magomere (Chairman),"Veronicah Leseya
(Retired 23rd May 2018)"
,Peter Nyigei (Vice Chairman),Mary Mungai
,Michael Wambia,Philip Lopokoiyit
,Gordon Owuor,"Jyoti Patel
(Appointed 1st June 2018)"
,Harrison Githae,
,Jonah Mutuku,
,Rosemary Githaiga,
,James Njue,
