SHAREHOLDING,Column,NO OF SHAREHOLDERS,Column,Column,NO OF SHARES,Column,Column,% SHAREHOLDING,Column
,,2025,2024,,2025,2024,,2025,2024
1-500,"9,219",,"6,930","1,530,475",,"1,447,988",0.05,,0.06
"501-5,000","8,207",,"6,948","14,802,683",,"13,674,141",0.51,,0.52
"5,001-10,000","1,581",,"1,467","11,029,944",,"11,173,429",0.38,,0.43
"10,001-100,000","4,414",,"4,091","116,488,080",,"112,719,917",4.05,,4.31
"100,001-1,000,000",609,,513,"147,446,205",,"130,616,654",5.12,,4.99
"Above 1,000,000",59,,54,"2,585,797,728",,"2,345,906,399",89.88,,89.69
TOTALS,"24,089",,"20,003","2,877,092,115",,"2,615,538,528",100.00,,100.00
