Column,Shs ‘000,Column,Column,Column
CIC Asset Management Limited,"311,000",Kenya,"Funds and assets management as regulated by the
Capital Markets Authority.",100%
CIC General Insurance Limited,"900,000",Kenya,Underwriting general insurance business.,100%
CIC Life Assurance Limited,"800,000",Kenya,Underwriting life assurance business.,100%
