"Transformational
Initiative",Key Highlights
"Operational
efficiency","Deployment and upgrade of systems e.g. GB core system (Premia), Group
ERP, CICAM core system (Fund master for client investment)
Business processes review especially on claims for GB medical and non-
medical
On-going system integrations with key partners e.g. banks
Key upgrades in our network and uptime monitoring tools which has
ensured an average up-time 99.9% for all our systems"
"Performance
management &
culture","Introduction of a new KPI tool & quarterly performance appraisal framework
Review of various HR Policies e.g. salaries reviews to be based purely on
performance"
Innovative products,"Launch of the seniors medical product
Reviewed and enhanced 10 products across the various subsidiaries
including some of the loss making products e.g. Loan guard
Review of 6 other products is on-going"
Cost competitiveness,Contracts review and re-negotiation for key suppliers
