Column,Total
,2016
,KShs’000
,"188,185"
"Reportable segment total assets 11,982,280 8,352,836 6,593,407
Less:
: Related party balances 60,089 196,427 (153,216)
: Investment in subsidiaries (1,700,000) (800,000) (864,751)
Reportable segment total assets - Net 10,342,369 7,749,263 5,575,440","26,928,523"
,"103,300"
,"(3,364,751)"
,"23,667,072"
"Reportable segment total liabilities 7,993,870 6,422,126 5,033,064
Less: related party balances (360,275) (49,744) 410,019
Net 7,633,595 6,372,382 5,443,083","19,449,060"
,-
,"19,449,060"
,"1,114,452"
,"650,000"
,"73,797"
,"649,682"
,"211,068"
,"66,991"
,"113,350"
,"41,776"
,"1,136,604"
,"24,920,235"
,"(93,889)"
,"(3,392,179)"
,"21,434,167"
,"17,089,752"
,-
,"17,089,752"
,"785,500"
,"665,771"
,"202,482"
,"650,516"
,"123,086"
,"25,351"
,"175,296"
,"38,449"
