Column,Column,Column,Column,Total
,"30,832",,"4,007,320",
,,"30,832",,"4,007,320"
-,,,,"(562,742)"
,,,,"385,140"
,,,,"(177,602)"
,,,,"1,498,750"
,,,,(59)
,,,,"(19,636)"
,,,"1,301,453",
,,,,"1,301,453"
,,,,"1,746,988"
,,,"(1,462,153)",
,,,"(230,810)",
,,,,"(230,810)"
,,,,"54,025"
,,,"5,362,798",
