Key Risk Description,Mitigation
"Insurance Risk
This is the risk under our insurance contracts which
carry a possibility that the insured event occurs and
the uncertainty of the amount resulting from the event","We have developed internal processes in line with
regulations, supported by applied quantitative data
to guide the underwriting process. We have invested
in a qualified manpower to ensure best practice in
insurance business from underwriting to claims."
"Regulatory Risk
Our regulatory environment is complex; The ever
increasing and changing regulatory requirement the
Group faces from it Kenyan and regional operations is
a key source of risk.","CIC has built a compliance culture and compliance
is monitored through a well-established compliance
model. We have also endeavored to build a constructive,
responsive and open relationship with out regulators
and other industry stakeholders."
"Financial Risk
The exposure to this risk is through our financial
assets, Financial Liabilities, reinsurance assets and
insurance liabilities. The risk is that the proceeds from
our financial assets are not sufficient to fund our
obligations.","The group manages this risk mainly through Asset
Liability Matching Framework that has been developed
to match assets arising from insurance liability to
investment contracts in terms of duration and returns"
"Credit Risk
This is a risk that a counter party will be unable to
pay amounts in full when due. These may arise out
of insurance/reinsurance contracts, cash at bank,
corporate bonds, deposits at bank and anticipated
provisions based on implementation of IFRS 9.","The group has enhanced its credit management
framework, which enables us to limit our overall risk
exposure to any single counterpart."
"Cyber Risk
An external, cyber attack or insider threat could result in
service interruption, breach of confidentiality and loss
of client, transaction and investment data. This would
have a negative impact of our revenues, customers,
reputation and leave us vulnerable to fraud.","CIC has strengthened its ICT environment and we are
investing in better systems and data protection add-
ons to ensure our operating environment is hardened
against any attacks. We have also ensured we have a
robust BCP and a contracted a state of the art DRP
center to ensure that we are able to recover our data in
case of loss of primary data site."
