Column,"Total
KShs’000
625,363"
"Reportable segment total assets 12,848,841 12,185,535 7,941,357
Less:
: Related party balances 17,880 107,362 (22,244)
: Investment in subsidiaries (1,700,000) (800,000) (1,272,064)
Reportable segment total assets - Net 11,166,721 11,492,897 6,647,049","32,975,733
102,998
(3,772,064)
29,306,667"
"Reportable segment total liabilities 8,704,620 10,125,575 6,263,052
Less: related party balances - (28,486) -","25,093,247
(28,486)"
"Net 8,704,620 10,097,089 6,263,052","25,064,761"
,"1,022,146
650,000
(226,258)
903,839
177,777
36,908
54,610
13,685
473,473"
"Reportable segment total assets 13,116,624 10,285,064 7,103,688
Less:
: Related party balances (38,291) (181,575) 265,752
: Investment in subsidiaries (1,700,000) (800,000) (1,028,633)
Reportable segment total assets - Net 11,378,333 9,303,489 6,340,807","30,505,376
45,886
(3,528,633)
27,022,629"
"Reportable segment total liabilities 9,120,980 8,253,188 5,494,100
Less: related party balances (161,780) (51,471) 213,251","22,868,268
-"
"Net 8,959,200 8,201,717 5,707,351","22,868,268"
,"1,543,581
650,000
(40,683)
1,023,407
176,645
44,166
71,671
48,840"
