"Total
past–due
but not
impaired"
KShs ‘000
"336,798"
"2,328,705"
"1,225,276"
"3,890,779"
"Total past–
due but not
impaired"
KShs ‘000
"364,811"
"1,602,712"
"1,213,159"
"3,180,682"
