Column,"Total
2013
KShs’000
1,405,904"
"Reportable segment total assets 10,428,522 5,326,892 4,092,254
Less:
: Related party balances (619,511) (160,074) 9,222
: Investment in subsidiaries - - (2,011,000)
: movement in investment in associate - - (30,488)
Reportable segment total assets-Net 9,809,011 5,166,818 2,059,988","19,847,668
(770,363)
(2,011,000)
(30,488)
17,035,817"
"Reportable segment total liabilities 7,653,211 3,139,784 429,346
Less: related party balances (179,545) (264,875) (429,005)
Net 7,473,666 2,874,909 341","11,222,341
(873,425)
10,348,916"
,"303,353
83,142
28,890
792,106
59,076
722,806
1,388,201"
"Reportable segment total assets 8,576,260 4,060,562 3,513,368
Less:
: Related party balances (327,552) (29,156) 16,622
: Investment in subsidiaries (1,711,000)
: movement in investment in associate (29,553)
Net 8,248,708 4,031,406 1,789,437","16,150,190
(340,086)
(1,711,000)
(29,553)
14,069,551"
"Reportable segment total liabilities 6,215,848 2,374,749 348,081
Less: Related party balances (1,484) (338,603)","8,938,678
(340,087)"
,"8,598,591
201,282
49,844
18,828
76,970
16,421
715,294"
