"Net
liabilities",Column,"Net
Liabilities"
KShs ‘000,,KShs ‘000
"80,795",,"43,455"
"52,450",,"108,488"
"625,048",,"188,119"
"33,789",,"(61,661)"
"1,456,902",,"1, 486,260"
"13,965",,"348,407"
"175,293",,"98,428"
,"2,688,271 (479, 097)",
"2,438,392",,"2,209,174"
