"2018
KShs’000
16,627,384
16,945,301
(2,683,815)",Column,"2018
KShs’000
-
-
-"
"14,261,486
903,839
1,244,655
272,809
354,096
41,826","12,094,997
1,023,407
-
1,543,581
704,373
233,904","-
-
248,836
294,000
509,121
-"
"2,817,225","3,505,265","1,051,957"
"17,078,711","15,600,262","1,051,957"
"(2,384,012)
(9,736,515)
(1,285,159)
953,110
818,509","(2,122,470)
(8,900,071)
(946,294)
974,108
1,015,789","-
-
-
-
-"
"(9,250,055)","(7,856,468)",-
"(3,946,169)
(5,647)
-","(4,264,736)
-
(187,478)","(66,520)
-
-"
"(15,585,883)","(14,431,152)","(66,520)"
"(650,000)","(650,000)","(650,000)"
"8,793",46,-
"851,621
(226,258)","519,156
(40,683)","335,437
84,848"
"625,363","478,473","420,285"
"(2,237)
28,316
14,462
96,528","3,586
21,914
(99,595)
(51,308)","-
-
-
4,887"
"137,069","(125,403)","4,887"
"762,432","353,070","425,172"
0.24,,0.16
