"2009
Gross Reinsurance Net
Sh’000 Sh’000 Sh’000"
"848,934 380,995 467,939
65,007 - 65,007"
"913,941 380,995 532,946
(920,149 ) (163,551 ) (756,598 )
798,889 228,988 569,901
326,036 88,084 237,952"
"1,118,717 534,516 584,201"
"1,039,368 534,516 504,852
79,349 - 79,349"
"1,118,717 534,516 584,201"
