"Total
2011
Sh’000
6,735,721"
"6,116,421
(772,125 )"
"5,344,296"
"150,681
537,928
(12,865 )"
"675,744"
"6,020,040"
"(3,149,844 )
(557,373 )
(1,505,793 )"
"(5,213,010 )"
"(19,816 )"
"787,214
-"
"787,214
(203,000 )"
"584,214"
"22,110
(8,559 )"
"13,551"
"597,765
8.09"
