"2009
Sh’000"
"428,473
(83,579 )"
"344,894
(49,610 )
(11,762 )
(85,418 )
25,879
(673 )
(10,017 )
(178,000 )
93,521
(78,864 )
(25,889 )
2,139
164,638
(36,067 )
-"
"(190,123 )"
"15,888
(28,952 )"
"(13,064 )"
"141,707
552,008"
"693,715"
