"Total
2011
Sh ‘000
2,155,412
(203,606 )"
"1,951,806"
"772,512
79,954
7,133
392,519"
"1,252,118"
"102,587
674,829
2,281"
"779,697"
"200,631"
"120,622"
"120,622
(13,921 )"
"106,701"
"106,701"
