"Total
2011
Sh’000
6,735,721"
"6,116,421
(772,125 )"
"5,344,296"
"148,061
513,797
(12,380 )"
"649,478"
"5,993,774"
"(3,149,844 )
(557,373 )
(1,505,399 )"
"(5,212,616 )"
"781,158
-"
"781,158
(195,095 )"
"586,063"
"22,110
(8,559 )"
"13,551"
"599,614"
