Date,Column,13.10.2015,9.3.2016,25.5.2016,22.7.2016
Hon J M Wanjigi,Chairman,√,√,√,√
B C Patel,Member,√,√,√,√
R A Shepherd,Member,√,√,√,√
M K R Shah,Member,√,√,√,√
Amb D N O Awori,Member,√,√,√,√
