Column,Column,"Meetings eligible to
attend",Meetings attended
Amb D N O Awori,Chairman,4,4
Hon J M Wanjigi,Member,4,4
B C Patel,Member,4,3
M K R Shah,Member,4,4
R A Shepherd*,Member,1,1
S O Mudhune**,Member,1,1
