CARBACID INVESTMENTS plc,Column,Column,Column,Column
UNAUDITED CONSOLIDATED STATEMENT OF COMPREHENSIVE INCOME,,,,
FOR 6 MONTHS ENDED 31 JANUARY 2021,,,,
,,Unaudited,Unaudited,Audited
,,6 Months,6 Months,12 Months
,,to 31 January,to 31 January,to 31 July
,,2021,2020,2020
,,Shs '000,Shs '000,Shs '000
TURNOVER,27%,"449,652","352,912","682,878"
COST OF SALES,22%,"( 210,949)","( 173,081)","( 258,667)"
GROSS PROFIT,33%,"238,703","179,831","424,211"
,,53%,51%,62%
OTHER OPERATING INCOME,,"20,468","20,634","41,641"
ADMINISTRATIVE EXPENSES,32%,"( 81,312)","( 61,749)","( 186,812)"
OPERATING PROFIT,28%,"177,860","138,716","279,040"
,,40%,39%,41%
FINANCE INCOME,,"97,153","92,750","186,877"
FOREIGN EXCHANGE DIFFERENCES,,410,"( 1,992)","2,241"
FAIR VALUE GAIN ON INVESTMENT PROPERTIES,,-,0,"( 2,349)"
"ADJUSTMENT ON REVALUATION OF EQUITY
INVESTMENTS",,"1,287","3,111","( 38,850)"
PROFIT BEFORE TAX,19%,"276,710","232,585","426,959"
TAXATION,,"( 66,295)","( 53,897)","( 102,305)"
,,-24%,-23%,-24%
PROFIT AFTER TAX,18%,"210,415","178,688","324,654"
INTERIM DIVIDEND PER SHARE,,0.00,0.00,0.00
EARNINGS PER SHARE,18%,0.83,0.70,1.27
No. of Shares in issue,,"254,851,988","254,851,988","254,851,988"
"Kgs sold 21% 8,992,436 7,430,900 14,537,676",,,,
