Column,25.07.2019,18.09.2019,"18.09.2019
(Annual
General
Meeting)",12.11.2019,30.01.2020,"2.04.2020
(Special
Board
Meeting)",14.05.2020
Charles Muchene 1,X,X,X,X,-,-,-
Martin Oduor-Otieno,X,X,X,X,X,X,X
Carol Musyoka,X,X,X,X,X,X,X
Jane Karuku,X,X,X,X,X,X,X
Andrew Cowan,X,X,X,X,X,X,X
John O’Keeffe,X,X,X,X,X,X,X
Leo Breen 2,-,-,-,-,-,X,X
John Ulanga,X,X,X,X,X,X,X
Japheth Katto,X,X,X,X,X,X,X
Jimmy Mugerwa,X,X,X,X,X,X,X
György Geiszl 3,X,X,X,X,X,X,-
Risper Ohaga 4,-,-,-,-,-,-,X
