Column,At 30 June
,2021
Note,Kshs ‘000
16,"1,581,547"
16,"1,691,151"
17,"73,476"
,"19,540,747"
,"22,886,921"
30(b),"37,108,333"
31(b),"5,283"
,"37,113,616"
,"60,000,537"
20(b),"443,176"
21(b),"12,599"
23(b),"123,519"
25,"47,037,625"
26,"10,000"
35(b),"31,036,117"
19(b),"841,629"
,"79,504,665"
28(b),"3,335,382"
,"2,300,544"
34(b),"1,761,351"
,"7,397,277"
29(b),"19,320,605"
14,"673,463"
34(b),-
30(b),"6,900,000"
31(b),"7,337"
,"26,901,405"
,"(19,504,128)"
,"60,000,537"
